publish_date,headline_category,headline_text,commodity
2013-07-03,tv.news.hindi,Shah Rukh Khan wins onion cutting competition,Onion
2013-07-05,city.nashik,Onion prices shoot up by 52% in a month,Onion
2013-07-10,city.nashik,Wholesale onion prices up by 15% in five days; cross Rs 2;000 a quintal mark,Onion
2013-07-14,city.pune,Onion prices likely to go up to 30 per kg,Onion
2013-07-15,business.india-business,Inflation rises to 4.86% in June; onion prices shoot up by 114%,Onion
2013-07-17,city.ludhiana,Rising onion prices bring tears to residents eyes,Onion
2013-07-18,city.goa,Now; onion prices can also make you cry,Onion
2013-07-19,city.nashik,Lasalgaon onion market to be shut for four days,Onion
2013-07-19,city.delhi,Onion getting costlier by the day,Onion
2013-07-23,city.pune,Tomato; onion prices stay on the higher side,Onion
2013-07-24,city.nashik,Onion prices decline marginally,Onion
2013-07-24,business.india-business,Sharad Pawar not in favour of onion export ban,Onion
2013-07-24,city.ahmedabad,Onion prices rise once more,Onion
2013-07-27,city.hyderabad,Onion prices likely to shoot further,Onion
2013-07-27,city.visakhapatnam,Onion prices bring tears to people of Visakhapatnam,Onion
2013-08-06,city.nashik,Onion prices rise by over 32% in a week,Onion
2013-08-07,city.nashik,Dry spell may lead to increase in onion supply,Onion
2013-08-07,city.patna,At Rs 38/kg; onion brings tears; literally,Onion
2013-08-08,city.nashik,Wholesale prices of onion fall marginally at Agriculture Produce Market Committees,Onion
2013-08-08,city.bhubaneswar,Onion price soars in Bhubaneswar,Onion
2013-08-09,city.nashik,Onion prices soar; touch new high,Onion
2013-08-11,city.goa,Onion prices make buyers cry again,Onion
2013-08-11,city.mumbai,Onion prices hit record high of 50 per kg,Onion
2013-08-11,city.delhi,Onion prices soars to Rs 60 per kg in Delhi's retail market,Onion
2013-08-12,city.delhi,Onion touches Rs 60/kg,Onion
2013-08-13,city.ahmedabad,Onion consumption in city drops by 30-40%,Onion
2013-08-13,city.ahmedabad,Onion prices become pungent,Onion
2013-08-13,city.bhubaneswar,Onion price skyrockets,Onion
2013-08-13,city.lucknow,Short supply from Maharashtra; onion at Rs 60 per kg,Onion
2013-08-13,city.pune,At Rs 70/kg; onion prices soar to 3-year high in Pune,Onion
2013-08-13,city.mangaluru,Onion; green chilly prices head north,Onion
2013-08-13,city.delhi,Onion prices soar; selling at up to Rs 80/kg,Onion
