publish_date,headline_category,headline_text,commodity,sentiment_positive,sentiment_neutral,sentiment_negative,sentiment_label,price_direction_override_applied
2013-07-03,tv.news.hindi,Shah Rukh Khan wins onion cutting competition,Onion,0.26284074783325195,0.6986299157142639,0.03852933645248413,neutral,False
2013-07-05,city.nashik,Onion prices shoot up by 52% in a month,Onion,0.01952258124947548,0.0595843642950058,0.920893132686615,negative,True
2013-07-10,city.nashik,Wholesale onion prices up by 15% in five days; cross Rs 2;000 a quintal mark,Onion,0.016516199335455894,0.03299503028392792,0.9504887461662292,negative,True
2013-07-14,city.pune,Onion prices likely to go up to 30 per kg,Onion,0.024278674274683,0.3736145794391632,0.6021067500114441,negative,True
2013-07-15,business.india-business,Inflation rises to 4.86% in June; onion prices shoot up by 114%,Onion,0.02565140649676323,0.035683147609233856,0.9386654496192932,negative,True
2013-07-17,city.ludhiana,Rising onion prices bring tears to residents eyes,Onion,0.04379018768668175,0.06511516124010086,0.8910946249961853,negative,False
2013-07-18,city.goa,Now; onion prices can also make you cry,Onion,0.04408985376358032,0.612353503704071,0.343556672334671,neutral,False
2013-07-19,city.nashik,Lasalgaon onion market to be shut for four days,Onion,0.018778866156935692,0.221220925450325,0.7600002288818359,negative,False
2013-07-19,city.delhi,Onion getting costlier by the day,Onion,0.5560392141342163,0.3377304673194885,0.10623028129339218,positive,False
2013-07-23,city.pune,Tomato; onion prices stay on the higher side,Onion,0.22515042126178741,0.7480558156967163,0.026793772354722023,neutral,False
2013-07-24,city.nashik,Onion prices decline marginally,Onion,0.4687725901603699,0.03350143879652023,0.4977259933948517,negative,False
2013-07-24,business.india-business,Sharad Pawar not in favour of onion export ban,Onion,0.11644570529460907,0.8310542106628418,0.05250011757016182,neutral,False
2013-07-24,city.ahmedabad,Onion prices rise once more,Onion,0.3388192653656006,0.37840014696121216,0.28278061747550964,neutral,False
2013-07-27,city.hyderabad,Onion prices likely to shoot further,Onion,0.3627612888813019,0.24303212761878967,0.39420655369758606,negative,True
2013-07-27,city.visakhapatnam,Onion prices bring tears to people of Visakhapatnam,Onion,0.02284691110253334,0.13061141967773438,0.8465416431427002,negative,False
2013-08-06,city.nashik,Onion prices rise by over 32% in a week,Onion,0.02509656548500061,0.14401252567768097,0.8308908939361572,negative,True
2013-08-07,city.nashik,Dry spell may lead to increase in onion supply,Onion,0.018062936142086983,0.03321246802806854,0.948724627494812,negative,False
2013-08-07,city.patna,At Rs 38/kg; onion brings tears; literally,Onion,0.1382870227098465,0.8046694397926331,0.05704360455274582,neutral,False
2013-08-08,city.nashik,Wholesale prices of onion fall marginally at Agriculture Produce Market Committees,Onion,0.04464234784245491,0.1695975810289383,0.7857601046562195,negative,False
2013-08-08,city.bhubaneswar,Onion price soars in Bhubaneswar,Onion,0.1808975785970688,0.23388135433197021,0.585220992565155,negative,True
2013-08-09,city.nashik,Onion prices soar; touch new high,Onion,0.02194877713918686,0.14521995186805725,0.8328312635421753,negative,True
2013-08-11,city.goa,Onion prices make buyers cry again,Onion,0.06410442292690277,0.5351928472518921,0.40070274472236633,neutral,False
2013-08-11,city.mumbai,Onion prices hit record high of 50 per kg,Onion,0.8242638111114502,0.14964573085308075,0.02609049156308174,positive,False
2013-08-11,city.delhi,Onion prices soars to Rs 60 per kg in Delhi's retail market,Onion,0.019852811470627785,0.21721722185611725,0.7629299759864807,negative,True
2013-08-12,city.delhi,Onion touches Rs 60/kg,Onion,0.13957031071186066,0.8179831504821777,0.042446501553058624,neutral,False
2013-08-13,city.ahmedabad,Onion consumption in city drops by 30-40%,Onion,0.008681018836796284,0.026570366695523262,0.9647485017776489,negative,False
2013-08-13,city.ahmedabad,Onion prices become pungent,Onion,0.02527197264134884,0.4712716042995453,0.5034564733505249,negative,False
2013-08-13,city.bhubaneswar,Onion price skyrockets,Onion,0.06885500252246857,0.41060036420822144,0.5205446481704712,negative,False
