Commodity,Arrival_Date,price,min_price,max_price,n_varieties_reported
Onion,2013-07-01,1690.0,811.0,1747.0,1
Onion,2013-07-02,1725.0,850.0,1800.0,1
Onion,2013-07-03,1701.0,900.0,1792.0,1
Onion,2013-07-04,1850.0,1000.0,1896.0,1
Onion,2013-07-05,1890.0,1100.0,1972.0,1
Onion,2013-07-09,1975.0,1100.0,2116.0,1
Onion,2013-07-10,1850.0,1100.0,2000.0,1
Onion,2013-07-11,1880.0,1200.0,2009.0,1
Onion,2013-07-12,1940.0,1000.0,2021.0,1
Onion,2013-07-15,2225.0,1500.0,2361.0,1
Onion,2013-07-16,2375.0,1500.0,2500.0,1
Onion,2013-07-17,2500.0,1400.0,2633.0,1
Onion,2013-07-18,2375.0,1100.0,2589.0,1
Onion,2013-07-23,2275.0,1400.0,2436.0,1
Onion,2013-07-24,2325.0,2000.0,2440.0,1
Onion,2013-07-25,2210.0,1300.0,2388.0,1
Onion,2013-07-26,2250.0,1100.0,2361.0,1
Onion,2013-07-29,2270.0,1400.0,2389.0,1
Onion,2013-07-30,2330.0,1400.0,2495.0,1
Onion,2013-07-31,2401.0,1500.0,2543.0,1
Onion,2013-08-01,2401.0,1500.0,2543.0,1
Onion,2013-08-02,2650.0,1600.0,2727.0,1
Onion,2013-08-05,3000.0,2000.0,3206.0,1
Onion,2013-08-07,2970.0,1700.0,3175.0,1
Onion,2013-08-08,3425.0,1900.0,3570.0,1
Onion,2013-08-12,4350.0,2200.0,4620.0,1
Onion,2013-08-13,4500.0,2000.0,4725.0,1
Onion,2013-08-14,4700.0,1750.0,4875.0,1
Onion,2013-08-16,4201.0,1800.0,4416.0,1
Onion,2013-08-17,4201.0,2900.0,4451.0,1
Onion,2013-08-19,3601.0,1500.0,3816.0,1
Onion,2013-08-20,3711.0,1901.0,3829.0,1
Onion,2013-08-21,4100.0,1700.0,4322.0,1
Onion,2013-08-22,4040.0,2000.0,4306.0,1
Onion,2013-08-23,4100.0,2100.0,4377.0,1
Onion,2013-08-24,4001.0,4001.0,4001.0,1
Onion,2013-08-26,3900.0,1700.0,4369.0,1
Onion,2013-08-27,3350.0,1500.0,3681.0,1
Onion,2013-08-29,3500.0,2000.0,3856.0,1
Onion,2013-08-30,3600.0,1900.0,4091.0,1
Onion,2013-09-03,4300.0,2000.0,4568.0,1
Onion,2013-09-04,4225.0,2000.0,4480.0,1
Onion,2013-09-06,4300.0,1000.0,4621.0,1
Onion,2013-09-07,4311.0,4311.0,4311.0,1
Onion,2013-09-10,4301.0,1900.0,4641.0,1
Onion,2013-09-11,4500.0,2800.0,4716.0,1
Onion,2013-09-12,4451.0,2900.0,4663.0,1
Onion,2013-09-13,4801.0,2500.0,5016.0,1
Onion,2013-09-16,5151.0,3000.0,5700.0,1
Onion,2013-09-17,5501.0,3100.0,5841.0,1
Onion,2013-09-19,5201.0,3000.0,5626.0,1
Onion,2013-09-23,3150.0,1150.0,3256.0,2
Onion,2013-09-24,4901.0,1500.0,5020.0,1
Onion,2013-09-26,4550.0,2001.0,4981.0,1
Onion,2013-09-27,2801.0,2801.0,2801.0,1
Onion,2013-09-30,2400.5,1100.5,3166.0,2
Onion,2013-10-01,2610.5,1250.5,2745.0,2
Onion,2013-10-03,2812.5,1550.0,3285.0,2
Onion,2013-10-07,3150.5,1600.5,3606.0,2
Onion,2013-10-08,3401.0,2076.0,3506.5,2
Onion,2013-10-09,3350.0,1800.5,3816.5,2
Onion,2013-10-10,1656.0,1656.0,1656.0,1
Onion,2013-10-14,4350.0,1500.0,4976.0,2
Onion,2013-10-15,4400.0,1750.5,4753.5,2
Onion,2013-10-18,5050.0,1750.5,5307.0,2
Onion,2013-10-21,4150.0,1950.0,5355.5,2
Onion,2013-10-22,4625.0,2150.0,5326.5,2
Onion,2013-10-23,4651.0,1800.0,5392.5,2
Onion,2013-10-24,4600.0,1650.0,5276.0,2
Onion,2013-10-25,4775.0,1950.5,5235.5,2
Onion,2013-10-28,3950.5,1800.0,4650.0,2
Onion,2013-10-29,4650.0,2050.0,5036.5,2
Onion,2013-10-30,4150.0,2400.5,4434.0,2
Onion,2013-10-31,4100.0,2250.0,4565.0,2
Onion,2013-11-06,4201.0,3000.0,4402.0,1
Onion,2013-11-11,4176.0,2201.0,4851.5,2
Onion,2013-11-12,3600.0,1000.0,3831.0,1
Onion,2013-11-13,3200.0,1000.0,4098.0,1
Onion,2013-11-14,3300.0,1501.0,3862.0,1
Onion,2013-11-15,2700.0,1000.0,3807.0,1
Onion,2013-11-18,2750.0,1001.0,3242.0,1
Onion,2013-11-19,2800.0,1500.0,3652.0,1
Onion,2013-11-20,1932.5,850.0,2213.5,2
Onion,2013-11-21,3150.0,1500.0,3714.0,1
Onion,2013-11-22,2500.0,1500.0,3290.0,1
Onion,2013-11-25,2400.0,1500.0,3260.0,1
Onion,2013-11-26,2000.0,1001.0,3320.0,1
Onion,2013-11-27,1900.0,1000.0,3042.0,1
Onion,2013-11-28,1800.0,1001.0,3001.0,1
Onion,2013-11-29,1700.0,1000.0,2905.0,1
Onion,2013-12-03,1751.0,1000.0,2515.0,1
Onion,2013-12-04,1800.0,1000.0,2716.0,1
Onion,2013-12-05,1725.0,1000.0,2601.0,1
Onion,2013-12-06,1851.0,1000.0,2255.0,1
Onion,2013-12-09,1851.0,1100.0,2151.0,1
Onion,2013-12-10,1750.0,1001.0,2295.0,1
Onion,2013-12-11,1551.0,1001.0,1892.0,1
Onion,2013-12-12,1325.0,1000.0,1851.0,1
Onion,2013-12-13,1200.0,1000.0,1630.0,1
Onion,2013-12-16,1120.0,1000.0,1261.0,1
Onion,2013-12-17,1170.0,1000.0,1262.0,1
Onion,2013-12-18,960.0,901.0,1261.0,1
Onion,2013-12-19,1200.0,1000.0,1325.0,1
Onion,2013-12-20,1100.0,1001.0,1401.0,1
Onion,2013-12-21,1125.0,900.0,1246.0,1
Onion,2013-12-23,950.0,800.0,1116.0,1
Onion,2013-12-24,990.0,801.0,1301.0,1
Onion,2013-12-26,990.0,800.0,1340.0,1
Onion,2013-12-27,1011.0,800.0,1371.0,1
Onion,2013-12-30,1201.0,801.0,1441.0,1
Onion,2013-12-31,1200.0,1100.0,1378.0,1
Onion,2014-01-02,1170.0,1000.0,1480.0,1
Onion,2014-01-03,1175.0,900.0,1451.0,1
Onion,2014-01-04,1175.0,1000.0,1441.0,1
Onion,2014-01-06,1125.0,900.0,1404.0,1
Onion,2014-01-07,1125.0,900.0,1451.0,1
Onion,2014-01-08,1100.0,901.0,1341.0,1
Onion,2014-01-09,950.0,800.0,1361.0,1
Onion,2014-01-10,950.0,600.0,1299.0,1
Onion,2014-01-11,950.0,700.0,1201.0,1
Onion,2014-01-13,960.0,671.0,1225.0,1
Onion,2014-01-15,860.0,700.0,1178.0,1
Onion,2014-01-16,825.0,651.0,1211.0,1
Onion,2014-01-17,900.0,700.0,1191.0,1
Onion,2014-01-18,950.0,750.0,1080.0,1
Onion,2014-01-20,975.0,750.0,1175.0,1
Onion,2014-01-21,925.0,800.0,1155.0,1
Onion,2014-01-22,920.0,800.0,1137.0,1
Onion,2014-01-23,925.0,700.0,1176.0,1
Onion,2014-01-24,912.5,600.0,1089.5,2
Onion,2014-01-25,900.0,700.0,1030.0,1
Onion,2014-01-27,940.0,800.0,1075.0,1
Onion,2014-01-28,900.0,700.0,1010.0,1
Onion,2014-01-29,930.0,700.0,1061.0,1
Onion,2014-01-31,900.0,700.0,1027.0,1
Onion,2014-02-01,875.0,600.0,978.0,1
Onion,2014-02-03,840.0,600.0,957.0,1
Onion,2014-02-04,800.0,526.0,871.0,1
